gene_id,ensemblID,gene_name,seqname,gene_type,Caudate,DLPFC,Hippocampus
ENSG00000066135.12,ENSG00000066135,KDM4A,chr1,protein_coding,1,0,0
ENSG00000117408.10,ENSG00000117408,IPO13,chr1,protein_coding,1,0,0
ENSG00000178028.13,ENSG00000178028,DMAP1,chr1,protein_coding,1,0,0
ENSG00000126107.14,ENSG00000126107,HECTD3,chr1,protein_coding,1,0,0
ENSG00000162415.6,ENSG00000162415,ZSWIM5,chr1,protein_coding,1,0,0
ENSG00000186603.5,ENSG00000186603,HPDL,chr1,protein_coding,1,0,0
ENSG00000070759.16,ENSG00000070759,TESK2,chr1,protein_coding,1,0,0
ENSG00000132763.14,ENSG00000132763,MMACHC,chr1,protein_coding,1,0,0
ENSG00000117448.13,ENSG00000117448,AKR1A1,chr1,protein_coding,1,0,0
ENSG00000159592.10,ENSG00000159592,GPBP1L1,chr1,protein_coding,1,0,0
ENSG00000086015.20,ENSG00000086015,MAST2,chr1,protein_coding,1,0,0
ENSG00000085998.13,ENSG00000085998,POMGNT1,chr1,protein_coding,1,0,0
ENSG00000085999.11,ENSG00000085999,RAD54L,chr1,protein_coding,1,0,0
ENSG00000132128.16,ENSG00000132128,LRRC41,chr1,protein_coding,1,0,0
ENSG00000117480.15,ENSG00000117480,FAAH,chr1,protein_coding,1,0,0
ENSG00000123472.12,ENSG00000123472,ATPAF1,chr1,protein_coding,1,0,0
ENSG00000186160.4,ENSG00000186160,CYP4Z1,chr1,protein_coding,1,0,0
ENSG00000162367.11,ENSG00000162367,TAL1,chr1,protein_coding,0,1,0
ENSG00000186094.16,ENSG00000186094,AGBL4,chr1,protein_coding,1,0,0
ENSG00000162373.12,ENSG00000162373,BEND5,chr1,protein_coding,1,0,0
ENSG00000085831.15,ENSG00000085831,TTC39A,chr1,protein_coding,1,0,0
ENSG00000157077.14,ENSG00000157077,ZFYVE9,chr1,protein_coding,1,0,0
ENSG00000154222.14,ENSG00000154222,CC2D1B,chr1,protein_coding,1,0,0
ENSG00000058799.13,ENSG00000058799,YIPF1,chr1,protein_coding,1,0,0
ENSG00000157216.15,ENSG00000157216,SSBP3,chr1,protein_coding,1,0,0
ENSG00000116133.11,ENSG00000116133,DHCR24,chr1,protein_coding,1,0,0
ENSG00000162409.10,ENSG00000162409,PRKAA2,chr1,protein_coding,1,0,0
ENSG00000173406.15,ENSG00000173406,DAB1,chr1,protein_coding,0,1,0
ENSG00000172456.17,ENSG00000172456,FGGY,chr1,protein_coding,0,1,0
ENSG00000162598.13,ENSG00000162598,C1orf87,chr1,protein_coding,1,0,0
ENSG00000226476.3,ENSG00000226476,RP11-776H12.1,chr1,lincRNA,1,0,0
ENSG00000132849.19,ENSG00000132849,PATJ,chr1,protein_coding,1,0,0
ENSG00000240563.1,ENSG00000240563,L1TD1,chr1,protein_coding,1,0,0
ENSG00000132854.18,ENSG00000132854,KANK4,chr1,protein_coding,1,1,0
ENSG00000162607.12,ENSG00000162607,USP1,chr1,protein_coding,1,0,0
ENSG00000125703.14,ENSG00000125703,ATG4C,chr1,protein_coding,1,0,0
ENSG00000158966.13,ENSG00000158966,CACHD1,chr1,protein_coding,1,0,0
ENSG00000116675.15,ENSG00000116675,DNAJC6,chr1,protein_coding,1,0,0
ENSG00000264720.3,ENSG00000264720,MIR3117,chr1,miRNA,1,0,0
ENSG00000116729.13,ENSG00000116729,WLS,chr1,protein_coding,1,0,0
ENSG00000033122.18,ENSG00000033122,LRRC7,chr1,protein_coding,1,0,0
ENSG00000066557.5,ENSG00000066557,LRRC40,chr1,protein_coding,1,0,0
ENSG00000050628.20,ENSG00000050628,PTGER3,chr1,protein_coding,1,0,0
ENSG00000224127.1,ENSG00000224127,RP11-510C10.2,chr1,antisense,1,0,0
ENSG00000232015.2,ENSG00000232015,HSPE1P25,chr1,processed_pseudogene,1,0,0
ENSG00000162614.18,ENSG00000162614,NEXN,chr1,protein_coding,1,0,0
ENSG00000122420.9,ENSG00000122420,PTGFR,chr1,protein_coding,1,0,0
ENSG00000137941.16,ENSG00000137941,TTLL7,chr1,protein_coding,1,0,0
ENSG00000240520.5,ENSG00000240520,UOX,chr1,unitary_pseudogene,1,0,0
ENSG00000174021.10,ENSG00000174021,GNG5,chr1,protein_coding,1,0,0
ENSG00000117151.12,ENSG00000117151,CTBS,chr1,protein_coding,1,0,0
ENSG00000117155.16,ENSG00000117155,SSX2IP,chr1,protein_coding,1,0,0
ENSG00000055732.12,ENSG00000055732,MCOLN3,chr1,protein_coding,1,0,0
ENSG00000097096.8,ENSG00000097096,SYDE2,chr1,protein_coding,1,0,0
ENSG00000171502.14,ENSG00000171502,COL24A1,chr1,protein_coding,1,0,0
ENSG00000016602.9,ENSG00000016602,CLCA4,chr1,protein_coding,1,0,0
ENSG00000231999.6,ENSG00000231999,FLJ27354,chr1,antisense,1,0,0
ENSG00000171492.14,ENSG00000171492,LRRC8D,chr1,protein_coding,1,1,0
ENSG00000232882.1,ENSG00000232882,PHKA1P1,chr1,processed_pseudogene,1,0,0
ENSG00000122484.8,ENSG00000122484,RPAP2,chr1,protein_coding,1,0,0
ENSG00000122406.12,ENSG00000122406,RPL5,chr1,protein_coding,1,0,0
ENSG00000137942.16,ENSG00000137942,FNBP1L,chr1,protein_coding,1,0,0
ENSG00000143036.16,ENSG00000143036,SLC44A3,chr1,protein_coding,1,0,0
ENSG00000152078.9,ENSG00000152078,TMEM56,chr1,protein_coding,1,0,0
ENSG00000231992.1,ENSG00000231992,RP11-57H12.2,chr1,sense_intronic,1,0,0
ENSG00000122481.16,ENSG00000122481,RWDD3,chr1,protein_coding,1,0,0
ENSG00000117598.11,ENSG00000117598,PLPPR5,chr1,protein_coding,1,0,0
ENSG00000232825.1,ENSG00000232825,RP5-896L10.1,chr1,antisense,1,0,0
ENSG00000137996.12,ENSG00000137996,RTCA,chr1,protein_coding,1,0,0
ENSG00000118733.16,ENSG00000118733,OLFM3,chr1,protein_coding,1,0,0
ENSG00000134215.15,ENSG00000134215,VAV3,chr1,protein_coding,1,0,0
ENSG00000241361.8,ENSG00000241361,SLC25A24P1,chr1,transcribed_unprocessed_pseudogene,1,0,0
ENSG00000186086.17,ENSG00000186086,NBPF6,chr1,protein_coding,1,0,0
ENSG00000162636.15,ENSG00000162636,FAM102B,chr1,protein_coding,1,0,0
ENSG00000162639.15,ENSG00000162639,HENMT1,chr1,protein_coding,1,0,0
ENSG00000116266.10,ENSG00000116266,STXBP3,chr1,protein_coding,1,0,0
ENSG00000121957.12,ENSG00000121957,GPSM2,chr1,protein_coding,1,0,0
ENSG00000116299.16,ENSG00000116299,KIAA1324,chr1,protein_coding,1,0,0
ENSG00000168710.17,ENSG00000168710,AHCYL1,chr1,protein_coding,1,0,1
ENSG00000177301.13,ENSG00000177301,KCNA2,chr1,protein_coding,0,1,0
ENSG00000197852.9,ENSG00000197852,FAM212B,chr1,protein_coding,1,0,0
ENSG00000227811.2,ENSG00000227811,FAM212B-AS1,chr1,antisense,1,0,0
ENSG00000064703.11,ENSG00000064703,DDX20,chr1,protein_coding,0,0,1
ENSG00000171385.9,ENSG00000171385,KCND3,chr1,protein_coding,1,0,0
ENSG00000134245.17,ENSG00000134245,WNT2B,chr1,protein_coding,1,0,0
ENSG00000155366.16,ENSG00000155366,RHOC,chr1,protein_coding,0,1,0
ENSG00000118655.4,ENSG00000118655,DCLRE1B,chr1,protein_coding,1,0,0
ENSG00000134207.14,ENSG00000134207,SYT6,chr1,protein_coding,1,0,0
ENSG00000175984.14,ENSG00000175984,DENND2C,chr1,protein_coding,1,0,0
ENSG00000134198.9,ENSG00000134198,TSPAN2,chr1,protein_coding,1,0,0
ENSG00000163393.12,ENSG00000163393,SLC22A15,chr1,protein_coding,1,0,0
ENSG00000155761.13,ENSG00000155761,SPAG17,chr1,protein_coding,0,1,0
ENSG00000143067.4,ENSG00000143067,ZNF697,chr1,protein_coding,1,0,0
ENSG00000092621.11,ENSG00000092621,PHGDH,chr1,protein_coding,1,0,0
ENSG00000275131.2,ENSG00000275131,CH17-472G23.4,chr1,transcribed_unprocessed_pseudogene,0,1,0
ENSG00000226067.6,ENSG00000226067,LINC00623,chr1,lincRNA,0,1,0
ENSG00000227082.1,ENSG00000227082,CH17-437K3.1,chr1,lincRNA,1,0,0
ENSG00000231752.5,ENSG00000231752,EMBP1,chr1,transcribed_unprocessed_pseudogene,0,1,0
ENSG00000266338.6,ENSG00000266338,NBPF15,chr1,protein_coding,1,0,0
ENSG00000131788.15,ENSG00000131788,PIAS3,chr1,protein_coding,1,0,0
ENSG00000280649.1,ENSG00000280649,AC245100.1,chr1,protein_coding,1,0,0
ENSG00000014914.19,ENSG00000014914,MTMR11,chr1,protein_coding,1,0,0
ENSG00000264522.5,ENSG00000264522,OTUD7B,chr1,protein_coding,1,0,0
ENSG00000118298.10,ENSG00000118298,CA14,chr1,protein_coding,1,0,0
ENSG00000117362.12,ENSG00000117362,APH1A,chr1,protein_coding,1,0,0
ENSG00000143420.17,ENSG00000143420,ENSA,chr1,protein_coding,1,0,0
ENSG00000143379.12,ENSG00000143379,SETDB1,chr1,protein_coding,1,0,0
ENSG00000143418.19,ENSG00000143418,CERS2,chr1,protein_coding,1,0,0
ENSG00000143409.15,ENSG00000143409,FAM63A,chr1,protein_coding,1,0,0
ENSG00000163159.11,ENSG00000163159,VPS72,chr1,protein_coding,1,0,0
ENSG00000178796.12,ENSG00000178796,RIIAD1,chr1,protein_coding,1,0,0
ENSG00000182134.15,ENSG00000182134,TDRKH,chr1,protein_coding,1,0,0
ENSG00000160679.12,ENSG00000160679,CHTOP,chr1,protein_coding,1,0,0
ENSG00000169418.9,ENSG00000169418,NPR1,chr1,protein_coding,1,0,0
ENSG00000143515.16,ENSG00000143515,ATP8B2,chr1,protein_coding,1,0,0
ENSG00000143603.18,ENSG00000143603,KCNN3,chr1,protein_coding,1,0,0
ENSG00000173207.12,ENSG00000173207,CKS1B,chr1,protein_coding,1,0,0
ENSG00000160688.18,ENSG00000160688,FLAD1,chr1,protein_coding,1,0,0
ENSG00000160685.13,ENSG00000160685,ZBTB7B,chr1,protein_coding,1,0,0
ENSG00000143537.13,ENSG00000143537,ADAM15,chr1,protein_coding,1,0,0
ENSG00000143590.13,ENSG00000143590,EFNA3,chr1,protein_coding,1,0,0
ENSG00000163462.17,ENSG00000163462,TRIM46,chr1,protein_coding,1,0,0
ENSG00000143630.9,ENSG00000143630,HCN3,chr1,protein_coding,1,0,0
ENSG00000160783.19,ENSG00000160783,PMF1,chr1,protein_coding,1,0,0
ENSG00000160781.15,ENSG00000160781,PAQR6,chr1,protein_coding,1,0,0
ENSG00000125462.16,ENSG00000125462,C1orf61,chr1,protein_coding,1,0,0
ENSG00000160818.16,ENSG00000160818,GPATCH4,chr1,protein_coding,1,0,0
ENSG00000143303.11,ENSG00000143303,RRNAD1,chr1,protein_coding,1,0,0
ENSG00000143321.18,ENSG00000143321,HDGF,chr1,protein_coding,1,0,0
ENSG00000187800.13,ENSG00000187800,PEAR1,chr1,protein_coding,1,0,0
ENSG00000183853.17,ENSG00000183853,KIRREL,chr1,protein_coding,1,0,0
ENSG00000163568.14,ENSG00000163568,AIM2,chr1,protein_coding,1,0,0
ENSG00000162706.12,ENSG00000162706,CADM3,chr1,protein_coding,1,0,0
ENSG00000213088.9,ENSG00000213088,ACKR1,chr1,protein_coding,1,0,0
ENSG00000162729.13,ENSG00000162729,IGSF8,chr1,protein_coding,1,0,0
ENSG00000162734.12,ENSG00000162734,PEA15,chr1,protein_coding,1,0,0
ENSG00000122218.14,ENSG00000122218,COPA,chr1,protein_coding,1,0,0
ENSG00000158773.14,ENSG00000158773,USF1,chr1,protein_coding,1,0,0
ENSG00000143256.4,ENSG00000143256,PFDN2,chr1,protein_coding,1,0,0
ENSG00000158793.13,ENSG00000158793,NIT1,chr1,protein_coding,1,0,0
ENSG00000248485.1,ENSG00000248485,PCP4L1,chr1,protein_coding,1,0,0
ENSG00000198929.12,ENSG00000198929,NOS1AP,chr1,protein_coding,1,0,0
ENSG00000152332.15,ENSG00000152332,UHMK1,chr1,protein_coding,1,0,0
ENSG00000143171.12,ENSG00000143171,RXRG,chr1,protein_coding,1,0,0
ENSG00000143179.13,ENSG00000143179,UCK2,chr1,protein_coding,1,0,0
ENSG00000143157.11,ENSG00000143157,POGK,chr1,protein_coding,1,0,0
ENSG00000213064.9,ENSG00000213064,SFT2D2,chr1,protein_coding,1,0,0
ENSG00000143153.12,ENSG00000143153,ATP1B1,chr1,protein_coding,0,1,0
ENSG00000075945.12,ENSG00000075945,KIFAP3,chr1,protein_coding,1,0,0
ENSG00000197959.13,ENSG00000197959,DNM3,chr1,protein_coding,1,0,0
ENSG00000117586.10,ENSG00000117586,TNFSF4,chr1,protein_coding,1,0,0
ENSG00000116191.17,ENSG00000116191,RALGPS2,chr1,protein_coding,1,0,0
ENSG00000116194.12,ENSG00000116194,ANGPTL1,chr1,protein_coding,1,0,0
ENSG00000143322.19,ENSG00000143322,ABL2,chr1,protein_coding,1,0,0
ENSG00000143340.6,ENSG00000143340,FAM163A,chr1,protein_coding,1,0,0
ENSG00000116260.16,ENSG00000116260,QSOX1,chr1,protein_coding,1,0,0
ENSG00000143324.13,ENSG00000143324,XPR1,chr1,protein_coding,1,0,0
ENSG00000135821.17,ENSG00000135821,GLUL,chr1,protein_coding,1,0,0
ENSG00000135828.11,ENSG00000135828,RNASEL,chr1,protein_coding,1,0,0
ENSG00000135824.12,ENSG00000135824,RGS8,chr1,protein_coding,1,0,0
ENSG00000135838.13,ENSG00000135838,NPL,chr1,protein_coding,1,0,0
ENSG00000058085.14,ENSG00000058085,LAMC2,chr1,protein_coding,1,0,0
ENSG00000198860.11,ENSG00000198860,TSEN15,chr1,protein_coding,1,0,0
ENSG00000116679.15,ENSG00000116679,IVNS1ABP,chr1,protein_coding,1,1,0
ENSG00000127074.14,ENSG00000127074,RGS13,chr1,protein_coding,1,0,0
ENSG00000116750.13,ENSG00000116750,UCHL5,chr1,protein_coding,1,0,0
ENSG00000162687.16,ENSG00000162687,KCNT2,chr1,protein_coding,1,0,0
ENSG00000213047.11,ENSG00000213047,DENND1B,chr1,protein_coding,1,0,0
ENSG00000230623.4,ENSG00000230623,RP11-469A15.2,chr1,lincRNA,1,0,0
ENSG00000159176.13,ENSG00000159176,CSRP1,chr1,protein_coding,1,0,0
ENSG00000170075.8,ENSG00000170075,GPR37L1,chr1,protein_coding,1,0,0
ENSG00000143862.7,ENSG00000143862,ARL8A,chr1,protein_coding,1,0,0
ENSG00000133067.17,ENSG00000133067,LGR6,chr1,protein_coding,1,0,0
ENSG00000143858.11,ENSG00000143858,SYT2,chr1,protein_coding,1,1,0
ENSG00000183155.4,ENSG00000183155,RABIF,chr1,protein_coding,1,0,0
ENSG00000143847.15,ENSG00000143847,PPFIA4,chr1,protein_coding,1,0,0
ENSG00000221643.1,ENSG00000221643,SNORA77,chr1,snoRNA,1,0,0
ENSG00000143845.14,ENSG00000143845,ETNK2,chr1,protein_coding,1,0,0
ENSG00000184144.10,ENSG00000184144,CNTN2,chr1,protein_coding,1,0,0
ENSG00000133069.15,ENSG00000133069,TMCC2,chr1,protein_coding,1,0,0
ENSG00000174514.12,ENSG00000174514,MFSD4A,chr1,protein_coding,1,0,0
ENSG00000196550.10,ENSG00000196550,FAM72A,chr1,protein_coding,1,0,0
ENSG00000263528.7,ENSG00000263528,IKBKE,chr1,protein_coding,1,0,0
ENSG00000196352.14,ENSG00000196352,CD55,chr1,protein_coding,1,0,0
ENSG00000196878.13,ENSG00000196878,LAMB3,chr1,protein_coding,1,0,0
ENSG00000082497.11,ENSG00000082497,SERTAD4,chr1,protein_coding,1,1,0
ENSG00000143473.11,ENSG00000143473,KCNH1,chr1,protein_coding,1,0,0
ENSG00000234233.1,ENSG00000234233,KCNH1-IT1,chr1,sense_intronic,1,0,0
ENSG00000170385.9,ENSG00000170385,SLC30A1,chr1,protein_coding,1,0,0
ENSG00000065600.12,ENSG00000065600,TMEM206,chr1,protein_coding,1,0,0
ENSG00000230461.8,ENSG00000230461,PROX1-AS1,chr1,processed_transcript,1,0,0
ENSG00000082482.13,ENSG00000082482,KCNK2,chr1,protein_coding,1,0,0
ENSG00000067704.9,ENSG00000067704,IARS2,chr1,protein_coding,1,0,0
ENSG00000116141.15,ENSG00000116141,MARK1,chr1,protein_coding,1,0,0
ENSG00000162817.6,ENSG00000162817,C1orf115,chr1,protein_coding,1,0,0
ENSG00000136630.12,ENSG00000136630,HLX,chr1,protein_coding,1,0,0
ENSG00000143507.17,ENSG00000143507,DUSP10,chr1,protein_coding,1,0,0
ENSG00000225265.1,ENSG00000225265,TAF1A-AS1,chr1,antisense,1,0,0
ENSG00000143502.14,ENSG00000143502,SUSD4,chr1,protein_coding,1,0,0
ENSG00000203685.9,ENSG00000203685,STUM,chr1,protein_coding,1,0,0
ENSG00000163050.16,ENSG00000163050,ADCK3,chr1,protein_coding,1,0,0
ENSG00000143816.7,ENSG00000143816,WNT9A,chr1,protein_coding,0,1,0
ENSG00000143793.12,ENSG00000143793,C1orf35,chr1,protein_coding,1,0,0
ENSG00000198835.3,ENSG00000198835,GJC2,chr1,protein_coding,1,0,0
ENSG00000162931.11,ENSG00000162931,TRIM17,chr1,protein_coding,1,0,0
ENSG00000116574.5,ENSG00000116574,RHOU,chr1,protein_coding,1,0,0
ENSG00000135776.4,ENSG00000135776,ABCB10,chr1,protein_coding,1,0,0
ENSG00000135750.14,ENSG00000135750,KCNK1,chr1,protein_coding,0,1,0
ENSG00000143669.13,ENSG00000143669,LYST,chr1,protein_coding,1,0,0
ENSG00000116962.14,ENSG00000116962,NID1,chr1,protein_coding,1,0,0
ENSG00000077522.12,ENSG00000077522,ACTN2,chr1,protein_coding,1,0,0
ENSG00000180875.4,ENSG00000180875,GREM2,chr1,protein_coding,1,0,0
ENSG00000180287.16,ENSG00000180287,PLD5,chr1,protein_coding,1,0,0
ENSG00000224525.2,ENSG00000224525,RP11-561I11.3,chr1,antisense,1,0,0
ENSG00000238243.3,ENSG00000238243,OR2W3,chr1,protein_coding,1,0,0
ENSG00000185220.11,ENSG00000185220,PGBD2,chr1,protein_coding,0,1,0
ENSG00000035115.21,ENSG00000035115,SH3YL1,chr2,protein_coding,1,0,0
ENSG00000189292.15,ENSG00000189292,FAM150B,chr2,protein_coding,0,1,0
ENSG00000151353.14,ENSG00000151353,TMEM18,chr2,protein_coding,1,0,0
ENSG00000237667.5,ENSG00000237667,LINC01115,chr2,lincRNA,1,0,0
ENSG00000186487.17,ENSG00000186487,MYT1L,chr2,protein_coding,1,0,0
ENSG00000032389.12,ENSG00000032389,TSSC1,chr2,protein_coding,1,1,0
ENSG00000176887.6,ENSG00000176887,SOX11,chr2,protein_coding,1,0,0
ENSG00000134326.11,ENSG00000134326,CMPK2,chr2,protein_coding,1,0,0
ENSG00000260837.1,ENSG00000260837,RP11-434B12.1,chr2,lincRNA,1,0,0
ENSG00000151693.9,ENSG00000151693,ASAP2,chr2,protein_coding,1,0,0
ENSG00000119185.12,ENSG00000119185,ITGB1BP1,chr2,protein_coding,1,0,0
ENSG00000115756.12,ENSG00000115756,HPCAL1,chr2,protein_coding,0,1,0
ENSG00000115758.12,ENSG00000115758,ODC1,chr2,protein_coding,1,0,0
ENSG00000143882.10,ENSG00000143882,ATP6V1C2,chr2,protein_coding,0,1,0
ENSG00000143870.12,ENSG00000143870,PDIA6,chr2,protein_coding,0,0,1
ENSG00000162975.4,ENSG00000162975,KCNF1,chr2,protein_coding,1,0,0
ENSG00000134318.13,ENSG00000134318,ROCK2,chr2,protein_coding,1,0,0
ENSG00000162981.13,ENSG00000162981,FAM84A,chr2,protein_coding,1,0,0
ENSG00000279663.2,ENSG00000279663,RP11-542H15.1,chr2,TEC,1,0,0
ENSG00000170745.11,ENSG00000170745,KCNS3,chr2,protein_coding,1,0,0
ENSG00000119782.13,ENSG00000119782,FKBP1B,chr2,protein_coding,1,0,0
ENSG00000084676.15,ENSG00000084676,NCOA1,chr2,protein_coding,1,0,0
ENSG00000171303.6,ENSG00000171303,KCNK3,chr2,protein_coding,1,0,0
ENSG00000138030.12,ENSG00000138030,KHK,chr2,protein_coding,1,0,0
ENSG00000163794.6,ENSG00000163794,UCN,chr2,protein_coding,1,0,0
ENSG00000115234.10,ENSG00000115234,SNX17,chr2,protein_coding,1,0,0
ENSG00000075426.11,ENSG00000075426,FOSL2,chr2,protein_coding,1,0,0
ENSG00000171094.15,ENSG00000171094,ALK,chr2,protein_coding,1,0,0
ENSG00000172954.13,ENSG00000172954,LCLAT1,chr2,protein_coding,1,0,0
ENSG00000162949.16,ENSG00000162949,CAPN13,chr2,protein_coding,1,0,0
ENSG00000152689.17,ENSG00000152689,RASGRP3,chr2,protein_coding,1,0,0
ENSG00000150938.9,ENSG00000150938,CRIM1,chr2,protein_coding,1,1,0
ENSG00000279519.1,ENSG00000279519,RP11-288C18.1,chr2,TEC,1,0,0
ENSG00000115841.19,ENSG00000115841,RMDN2,chr2,protein_coding,1,0,0
ENSG00000232973.11,ENSG00000232973,CYP1B1-AS1,chr2,antisense,1,1,0
